Herrialdea,Title,Latitude,Longitude,Taldea,Kontaktua,Herria,Arroba,Luzapena
Guipúzcoa,Anoeta,43.16147,-2.070695,EZ,Anoeta@altxaburu.eus,Anoeta,@,altxaburu.eus
Guipúzcoa,Antzuola,43.09944,-2.381747,EZ,Antzuola@altxaburu.eus,Antzuola,@,altxaburu.eus
Guipúzcoa,Arama,43.06364,-2.165558,EZ,Arama@altxaburu.eus,Arama,@,altxaburu.eus
Guipúzcoa,Aretxabaleta,43.03625,-2.504542,EZ,Aretxabaleta@altxaburu.eus,Aretxabaleta,@,altxaburu.eus
Guipúzcoa,Arrasate/Mondragón,43.06451,-2.487716,EZ,Arrasate/Mondragón@altxaburu.eus,Arrasate/Mondragón,@,altxaburu.eus
Guipúzcoa,Asteasu,43.1952,-2.097548,EZ,Asteasu@altxaburu.eus,Asteasu,@,altxaburu.eus
Guipúzcoa,Astigarraga,43.28065,-1.94756,EZ,Astigarraga@altxaburu.eus,Astigarraga,@,altxaburu.eus
Guipúzcoa,Ataun,43.00922,-2.166667,EZ,Ataun@altxaburu.eus,Ataun,@,altxaburu.eus
Guipúzcoa,Azkoitia,43.1782,-2.31164,BAI,Azkoitia@altxaburu.eus,Azkoitia,@,altxaburu.eus
Guipúzcoa,Azpeitia,43.1839,-2.265466,BAI,Azpeitia@altxaburu.eus,Azpeitia,@,altxaburu.eus
Guipúzcoa,Baliarrain,43.06931,-2.129235,EZ,Baliarrain@altxaburu.eus,Baliarrain,@,altxaburu.eus
Guipúzcoa,Beasain,43.04708,-2.204605,BAI,Beasain@altxaburu.eus,Beasain,@,altxaburu.eus
Guipúzcoa,Beizama,43.13419,-2.200113,EZ,Beizama@altxaburu.eus,Beizama,@,altxaburu.eus
Guipúzcoa,Belauntza,43.13528,-2.050705,EZ,Belauntza@altxaburu.eus,Belauntza,@,altxaburu.eus
Guipúzcoa,Berastegi,43.12403,-1.979426,EZ,Berastegi@altxaburu.eus,Berastegi,@,altxaburu.eus
Guipúzcoa,Bergara,43.11822,-2.413358,EZ,Bergara@altxaburu.eus,Bergara,@,altxaburu.eus
Guipúzcoa,Berrobi,43.14548,-2.026374,EZ,Berrobi@altxaburu.eus,Berrobi,@,altxaburu.eus
Guipúzcoa,Bidegoian,43.13968,-2.169585,EZ,Bidegoian@altxaburu.eus,Bidegoian,@,altxaburu.eus
Guipúzcoa,Deba,43.29556,-2.353894,EZ,Deba@altxaburu.eus,Deba,@,altxaburu.eus
Guipúzcoa,Donostia-San Sebastián,43.32074,-1.984421,BAI,Donostia-San Sebastián@altxaburu.eus,Donostia-San Sebastián,@,altxaburu.eus
Guipúzcoa,Eibar,43.18418,-2.473289,EZ,Eibar@altxaburu.eus,Eibar,@,altxaburu.eus
Guipúzcoa,Elduain,43.14071,-2.000488,EZ,Elduain@altxaburu.eus,Elduain,@,altxaburu.eus
Guipúzcoa,Elgeta,43.13657,-2.487392,EZ,Elgeta@altxaburu.eus,Elgeta,@,altxaburu.eus
Guipúzcoa,Elgoibar,43.21519,-2.415703,EZ,Elgoibar@altxaburu.eus,Elgoibar,@,altxaburu.eus
Guipúzcoa,Errenteria,43.31275,-1.899633,EZ,Errenteria@altxaburu.eus,Errenteria,@,altxaburu.eus
Guipúzcoa,Errezil,43.16467,-2.173594,EZ,Errezil@altxaburu.eus,Errezil,@,altxaburu.eus
Guipúzcoa,Eskoriatza,43.01707,-2.52698,EZ,Eskoriatza@altxaburu.eus,Eskoriatza,@,altxaburu.eus
Guipúzcoa,Ezkio-Itsaso,43.08194,-2.274167,EZ,Ezkio-Itsaso@altxaburu.eus,Ezkio-Itsaso,@,altxaburu.eus
Guipúzcoa,Gabiria,43.04969,-2.279856,EZ,Gabiria@altxaburu.eus,Gabiria,@,altxaburu.eus
Guipúzcoa,Gaintza,43.05263,-2.13237,EZ,Gaintza@altxaburu.eus,Gaintza,@,altxaburu.eus
Guipúzcoa,Gaztelu,43.11658,-2.022278,EZ,Gaztelu@altxaburu.eus,Gaztelu,@,altxaburu.eus
Guipúzcoa,Getaria,43.30326,-2.204363,EZ,Getaria@altxaburu.eus,Getaria,@,altxaburu.eus
Guipúzcoa,Hernani,43.26755,-1.975814,BAI,Hernani@altxaburu.eus,Hernani,@,altxaburu.eus
Guipúzcoa,Hernialde,43.15447,-2.085025,EZ,Hernialde@altxaburu.eus,Hernialde,@,altxaburu.eus
Guipúzcoa,Hondarribia,43.36253,-1.791498,EZ,Hondarribia@altxaburu.eus,Hondarribia,@,altxaburu.eus
Guipúzcoa,Ibarra,43.054,-2.566,BAI,Ibarra@altxaburu.eus,Ibarra,@,altxaburu.eus
Guipúzcoa,Idiazabal,43.01178,-2.234214,BAI,Idiazabal@altxaburu.eus,Idiazabal,@,altxaburu.eus
Guipúzcoa,Ikaztegieta,43.09496,-2.1239,BAI,Ikaztegieta@altxaburu.eus,Ikaztegieta,@,altxaburu.eus
Guipúzcoa,Irun,43.33823,-1.789272,EZ,Irun@altxaburu.eus,Irun,@,altxaburu.eus
Guipúzcoa,Irura,43.16569,-2.069617,EZ,Irura@altxaburu.eus,Irura,@,altxaburu.eus
Guipúzcoa,Itsasondo,43.06693,-2.167393,EZ,Itsasondo@altxaburu.eus,Itsasondo,@,altxaburu.eus
Guipúzcoa,Larraul,43.18774,-2.102534,EZ,Larraul@altxaburu.eus,Larraul,@,altxaburu.eus
Guipúzcoa,Lasarte-Oria,43.26746,-2.020169,EZ,Lasarte-Oria@altxaburu.eus,Lasarte-Oria,@,altxaburu.eus
Guipúzcoa,Lazkao,43.03432,-2.187379,EZ,Lazkao@altxaburu.eus,Lazkao,@,altxaburu.eus
Guipúzcoa,Leaburu,43.12498,-2.052106,EZ,Leaburu@altxaburu.eus,Leaburu,@,altxaburu.eus
Guipúzcoa,Legazpi,43.05436,-2.333641,EZ,Legazpi@altxaburu.eus,Legazpi,@,altxaburu.eus
Guipúzcoa,Legorreta,43.08579,-2.150909,EZ,Legorreta@altxaburu.eus,Legorreta,@,altxaburu.eus
Guipúzcoa,Leintz-Gatzaga,42.98711,-2.568626,EZ,Leintz-Gatzaga@altxaburu.eus,Leintz-Gatzaga,@,altxaburu.eus
Guipúzcoa,Lezo,43.32113,-1.898775,EZ,Lezo@altxaburu.eus,Lezo,@,altxaburu.eus
Guipúzcoa,Lizartza,43.10372,-2.034254,BAI,Lizartza@altxaburu.eus,Lizartza,@,altxaburu.eus
Guipúzcoa,Mendaro,43.26417,-2.3755,EZ,Mendaro@altxaburu.eus,Mendaro,@,altxaburu.eus
Guipúzcoa,Mutiloa,43.02238,-2.272826,EZ,Mutiloa@altxaburu.eus,Mutiloa,@,altxaburu.eus
Guipúzcoa,Mutriku,43.30707,-2.385083,EZ,Mutriku@altxaburu.eus,Mutriku,@,altxaburu.eus
Guipúzcoa,Oiartzun,43.29928,-1.857874,EZ,Oiartzun@altxaburu.eus,Oiartzun,@,altxaburu.eus
Guipúzcoa,Olaberria,43.02708,-2.203089,EZ,Olaberria@altxaburu.eus,Olaberria,@,altxaburu.eus
Guipúzcoa,Oñati,43.03289,-2.411348,EZ,Oñati@altxaburu.eus,Oñati,@,altxaburu.eus
Guipúzcoa,Ordizia,43.0542,-2.178116,EZ,Ordizia@altxaburu.eus,Ordizia,@,altxaburu.eus
Guipúzcoa,Orendain,43.07972,-2.11429,EZ,Orendain@altxaburu.eus,Orendain,@,altxaburu.eus
Guipúzcoa,Orexa,43.09388,-2.011392,EZ,Orexa@altxaburu.eus,Orexa,@,altxaburu.eus
Guipúzcoa,Orio,43.27832,-2.126597,BAI,Orio@altxaburu.eus,Orio,@,altxaburu.eus
Guipúzcoa,Ormaiztegi,43.04274,-2.255848,EZ,Ormaiztegi@altxaburu.eus,Ormaiztegi,@,altxaburu.eus
Guipúzcoa,Pasaia,43.32528,-1.921111,EZ,Pasaia@altxaburu.eus,Pasaia,@,altxaburu.eus
Guipúzcoa,Segura,43.00922,-2.252519,EZ,Segura@altxaburu.eus,Segura,@,altxaburu.eus
Guipúzcoa,Soraluze/Placencia de las Armas,43.17543,-2.412494,EZ,Soraluze/Placencia de las Armas@altxaburu.eus,Soraluze/Placencia de las Armas,@,altxaburu.eus
Guipúzcoa,Tolosa,43.13698,-2.073914,BAI,Tolosa@altxaburu.eus,Tolosa,@,altxaburu.eus
Guipúzcoa,Urnieta,43.2482,-1.990517,EZ,Urnieta@altxaburu.eus,Urnieta,@,altxaburu.eus
Guipúzcoa,Urretxu,43.09228,-2.314383,EZ,Urretxu@altxaburu.eus,Urretxu,@,altxaburu.eus
Guipúzcoa,Usurbil,43.27138,-2.049934,EZ,Usurbil@altxaburu.eus,Usurbil,@,altxaburu.eus
Guipúzcoa,Villabona,43.18995,-2.052454,EZ,Villabona@altxaburu.eus,Villabona,@,altxaburu.eus
Guipúzcoa,Zaldibia,43.03796,-2.150894,EZ,Zaldibia@altxaburu.eus,Zaldibia,@,altxaburu.eus
Guipúzcoa,Zarautz,43.28036,-2.171588,EZ,Zarautz@altxaburu.eus,Zarautz,@,altxaburu.eus
Guipúzcoa,Zegama,42.97568,-2.290072,EZ,Zegama@altxaburu.eus,Zegama,@,altxaburu.eus
Guipúzcoa,Zerain,43.01212,-2.274118,EZ,Zerain@altxaburu.eus,Zerain,@,altxaburu.eus
Guipúzcoa,Zestoa,43.23944,-2.258113,EZ,Zestoa@altxaburu.eus,Zestoa,@,altxaburu.eus
Guipúzcoa,Zizurkil,43.19952,-2.074074,EZ,Zizurkil@altxaburu.eus,Zizurkil,@,altxaburu.eus
Guipúzcoa,Zumaia,43.29726,-2.256849,EZ,Zumaia@altxaburu.eus,Zumaia,@,altxaburu.eus
Guipúzcoa,Zumarraga,43.09048,-2.31322,EZ,Zumarraga@altxaburu.eus,Zumarraga,@,altxaburu.eus
Vizcaya,Abadiño,43.15,-2.610278,EZ,Abadiño@altxaburu.eus,Abadiño,@,altxaburu.eus
Vizcaya,Abanto y Ciérvana-Abanto Zierbena,43.31688,-3.087678,EZ,Abanto y Ciérvana-Abanto Zierbena@altxaburu.eus,Abanto y Ciérvana-Abanto Zierbena,@,altxaburu.eus
Vizcaya,Ajangiz,43.301,-2.671,EZ,Ajangiz@altxaburu.eus,Ajangiz,@,altxaburu.eus
Vizcaya,Alonsotegi,43.24519,-2.988702,EZ,Alonsotegi@altxaburu.eus,Alonsotegi,@,altxaburu.eus
Vizcaya,Amorebieta-Etxano,43.2205,-2.733236,EZ,Amorebieta-Etxano@altxaburu.eus,Amorebieta-Etxano,@,altxaburu.eus
Vizcaya,Amoroto,43.3285,-2.5125,EZ,Amoroto@altxaburu.eus,Amoroto,@,altxaburu.eus
Vizcaya,Arakaldo,43.14955,-2.925086,EZ,Arakaldo@altxaburu.eus,Arakaldo,@,altxaburu.eus
Vizcaya,Arantzazu,43.1529,-2.79043,EZ,Arantzazu@altxaburu.eus,Arantzazu,@,altxaburu.eus
Vizcaya,Areatza,43.12108,-2.767771,EZ,Areatza@altxaburu.eus,Areatza,@,altxaburu.eus
Vizcaya,Arrankudiaga,43.1735,-2.917886,EZ,Arrankudiaga@altxaburu.eus,Arrankudiaga,@,altxaburu.eus
Vizcaya,Arratzu,43.31167,-2.638611,EZ,Arratzu@altxaburu.eus,Arratzu,@,altxaburu.eus
Vizcaya,Arrieta,43.34036,-2.769799,EZ,Arrieta@altxaburu.eus,Arrieta,@,altxaburu.eus
Vizcaya,Arrigorriaga,43.20752,-2.887839,EZ,Arrigorriaga@altxaburu.eus,Arrigorriaga,@,altxaburu.eus
Vizcaya,Artea,43.13372,-2.784141,EZ,Artea@altxaburu.eus,Artea,@,altxaburu.eus
Vizcaya,Artzentales,43.24055,-3.241389,EZ,Artzentales@altxaburu.eus,Artzentales,@,altxaburu.eus
Vizcaya,Atxondo,43.13034,-2.585079,EZ,Atxondo@altxaburu.eus,Atxondo,@,altxaburu.eus
Vizcaya,Aulesti,43.29609,-2.563355,EZ,Aulesti@altxaburu.eus,Aulesti,@,altxaburu.eus
Vizcaya,Bakio,43.42778,-2.811389,EZ,Bakio@altxaburu.eus,Bakio,@,altxaburu.eus
Vizcaya,Balmaseda,43.19287,-3.196942,EZ,Balmaseda@altxaburu.eus,Balmaseda,@,altxaburu.eus
Vizcaya,Barakaldo,43.29683,-2.985259,EZ,Barakaldo@altxaburu.eus,Barakaldo,@,altxaburu.eus
Vizcaya,Barrika,43.40638,-2.962425,EZ,Barrika@altxaburu.eus,Barrika,@,altxaburu.eus
Vizcaya,Basauri,43.23333,-2.883333,EZ,Basauri@altxaburu.eus,Basauri,@,altxaburu.eus
Vizcaya,Bedia,43.20937,-2.804965,EZ,Bedia@altxaburu.eus,Bedia,@,altxaburu.eus
Vizcaya,Berango,43.3659,-2.996356,EZ,Berango@altxaburu.eus,Berango,@,altxaburu.eus
Vizcaya,Bermeo,43.42042,-2.722158,EZ,Bermeo@altxaburu.eus,Bermeo,@,altxaburu.eus
Vizcaya,Berriatua,43.31667,-2.466667,EZ,Berriatua@altxaburu.eus,Berriatua,@,altxaburu.eus
Vizcaya,Berriz,43.18817,-2.593,EZ,Berriz@altxaburu.eus,Berriz,@,altxaburu.eus
Vizcaya,Bilbao,43.25696,-2.923441,EZ,Bilbao@altxaburu.eus,Bilbao,@,altxaburu.eus
Vizcaya,Busturia,43.383,-2.697,EZ,Busturia@altxaburu.eus,Busturia,@,altxaburu.eus
Vizcaya,Derio,43.302,-2.881833,EZ,Derio@altxaburu.eus,Derio,@,altxaburu.eus
Vizcaya,Dima,43.14339,-2.751464,EZ,Dima@altxaburu.eus,Dima,@,altxaburu.eus
Vizcaya,Durango,43.16907,-2.632655,EZ,Durango@altxaburu.eus,Durango,@,altxaburu.eus
Vizcaya,Ea,43.38013,-2.585593,EZ,Ea@altxaburu.eus,Ea,@,altxaburu.eus
Vizcaya,Elantxobe,43.40342,-2.6398,EZ,Elantxobe@altxaburu.eus,Elantxobe,@,altxaburu.eus
Vizcaya,Elorrio,43.13039,-2.542155,EZ,Elorrio@altxaburu.eus,Elorrio,@,altxaburu.eus
Vizcaya,Erandio,43.30746,-2.946418,EZ,Erandio@altxaburu.eus,Erandio,@,altxaburu.eus
Vizcaya,Ereño,43.35695,-2.621667,EZ,Ereño@altxaburu.eus,Ereño,@,altxaburu.eus
Vizcaya,Ermua,43.18664,-2.502607,EZ,Ermua@altxaburu.eus,Ermua,@,altxaburu.eus
Vizcaya,Errigoiti,43.31871,-2.725344,EZ,Errigoiti@altxaburu.eus,Errigoiti,@,altxaburu.eus
Vizcaya,Etxebarri,43.24718,-2.890139,EZ,Etxebarri@altxaburu.eus,Etxebarri,@,altxaburu.eus
Vizcaya,Etxebarria,43.25415,-2.477354,EZ,Etxebarria@altxaburu.eus,Etxebarria,@,altxaburu.eus
Vizcaya,Forua,43.33371,-2.678589,EZ,Forua@altxaburu.eus,Forua,@,altxaburu.eus
Vizcaya,Fruiz,43.32889,-2.783333,EZ,Fruiz@altxaburu.eus,Fruiz,@,altxaburu.eus
Vizcaya,Galdakao,43.23056,-2.845833,EZ,Galdakao@altxaburu.eus,Galdakao,@,altxaburu.eus
Vizcaya,Galdames,43.266,-3.094,EZ,Galdames@altxaburu.eus,Galdames,@,altxaburu.eus
Vizcaya,Gamiz-Fika,43.31173,-2.810701,EZ,Gamiz-Fika@altxaburu.eus,Gamiz-Fika,@,altxaburu.eus
Vizcaya,Garai,43.19472,-2.609722,EZ,Garai@altxaburu.eus,Garai,@,altxaburu.eus
Vizcaya,Gatika,43.36389,-2.871944,EZ,Gatika@altxaburu.eus,Gatika,@,altxaburu.eus
Vizcaya,Gautegiz Arteaga,43.3531,-2.650985,EZ,Gautegiz Arteaga@altxaburu.eus,Gautegiz Arteaga,@,altxaburu.eus
Vizcaya,Gernika-Lumo,43.31707,-2.678975,EZ,Gernika-Lumo@altxaburu.eus,Gernika-Lumo,@,altxaburu.eus
Vizcaya,Getxo,43.36229,-3.012567,EZ,Getxo@altxaburu.eus,Getxo,@,altxaburu.eus
Vizcaya,Gizaburuaga,43.33222,-2.536111,EZ,Gizaburuaga@altxaburu.eus,Gizaburuaga,@,altxaburu.eus
Vizcaya,Gordexola,43.17989,-3.071129,EZ,Gordexola@altxaburu.eus,Gordexola,@,altxaburu.eus
Vizcaya,Gorliz,43.41667,-2.933333,EZ,Gorliz@altxaburu.eus,Gorliz,@,altxaburu.eus
Vizcaya,Güeñes,43.21032,-3.095317,EZ,Güeñes@altxaburu.eus,Güeñes,@,altxaburu.eus
Vizcaya,Ibarrangelu,43.39022,-2.633802,EZ,Ibarrangelu@altxaburu.eus,Ibarrangelu,@,altxaburu.eus
Vizcaya,Igorre,43.16583,-2.776111,EZ,Igorre@altxaburu.eus,Igorre,@,altxaburu.eus
Vizcaya,Ispaster,43.36295,-2.544635,EZ,Ispaster@altxaburu.eus,Ispaster,@,altxaburu.eus
Vizcaya,Iurreta,43.1767,-2.633777,EZ,Iurreta@altxaburu.eus,Iurreta,@,altxaburu.eus
Vizcaya,Izurtza,43.15227,-2.641978,EZ,Izurtza@altxaburu.eus,Izurtza,@,altxaburu.eus
Vizcaya,Karrantza Harana/Valle de Carranza,43.22528,-3.359444,EZ,Karrantza Harana/Valle de Carranza@altxaburu.eus,Karrantza Harana/Valle de Carranza,@,altxaburu.eus
Vizcaya,Kortezubi,43.33598,-2.654319,EZ,Kortezubi@altxaburu.eus,Kortezubi,@,altxaburu.eus
Vizcaya,Lanestosa,43.22117,-3.439148,EZ,Lanestosa@altxaburu.eus,Lanestosa,@,altxaburu.eus
Vizcaya,Larrabetzu,43.26097,-2.796175,EZ,Larrabetzu@altxaburu.eus,Larrabetzu,@,altxaburu.eus
Vizcaya,Laukiz,43.35333,-2.906111,EZ,Laukiz@altxaburu.eus,Laukiz,@,altxaburu.eus
Vizcaya,Leioa,43.3261,-2.987704,EZ,Leioa@altxaburu.eus,Leioa,@,altxaburu.eus
Vizcaya,Lekeitio,43.36551,-2.503344,EZ,Lekeitio@altxaburu.eus,Lekeitio,@,altxaburu.eus
Vizcaya,Lemoa,43.20876,-2.774117,EZ,Lemoa@altxaburu.eus,Lemoa,@,altxaburu.eus
Vizcaya,Lemoiz,43.41324,-2.902253,EZ,Lemoiz@altxaburu.eus,Lemoiz,@,altxaburu.eus
Vizcaya,Lezama,43.27217,-2.832167,EZ,Lezama@altxaburu.eus,Lezama,@,altxaburu.eus
Vizcaya,Loiu,43315,-2.938333,EZ,Loiu@altxaburu.eus,Loiu,@,altxaburu.eus
Vizcaya,Mallabia,43.18965,-2.529969,EZ,Mallabia@altxaburu.eus,Mallabia,@,altxaburu.eus
Vizcaya,Mañaria,43.13749,-2.661135,EZ,Mañaria@altxaburu.eus,Mañaria,@,altxaburu.eus
Vizcaya,Markina-Xemein,43.2706,-2.497155,EZ,Markina-Xemein@altxaburu.eus,Markina-Xemein,@,altxaburu.eus
Vizcaya,Maruri-Jatabe,43.38277,-2.874989,EZ,Maruri-Jatabe@altxaburu.eus,Maruri-Jatabe,@,altxaburu.eus
Vizcaya,Meñaka,43.36446,-2.801795,EZ,Meñaka@altxaburu.eus,Meñaka,@,altxaburu.eus
Vizcaya,Mendata,43.28333,-2.633333,EZ,Mendata@altxaburu.eus,Mendata,@,altxaburu.eus
Vizcaya,Mendexa,43.34639,-2.483333,EZ,Mendexa@altxaburu.eus,Mendexa,@,altxaburu.eus
Vizcaya,Morga,43.29793,-2.752739,EZ,Morga@altxaburu.eus,Morga,@,altxaburu.eus
Vizcaya,Mundaka,43.40733,-2.698322,EZ,Mundaka@altxaburu.eus,Mundaka,@,altxaburu.eus
